date,mvrv_z,mvrv,CapMrktCurUSD,cap_realizado
2024-09-09,1.4216839200283935,1.814072811646,1128547518526.8225,622107068295.0339
2024-09-10,1.4502555549236762,1.830850569033,1139015466135.6826,622123665033.6112
2024-09-11,1.435438442180865,1.822802476165,1133991945926.9812,622114552045.59
2024-09-12,1.473745408500103,1.844923692611,1148151626487.3196,622330143564.0493
2024-09-13,1.6033289007435605,1.918166417135,1195824511492.5513,623420627537.9648
2024-09-14,1.5728292876247485,1.901061522523,1185386846216.0225,623539444763.9087
2024-09-15,1.5234186209145646,1.873189573393,1168085465734.0293,623581020482.7368
2024-09-16,1.4724061416315133,1.844209085413,1150280600030.6746,623725698527.8738
2024-09-17,1.5813535622079962,1.906555569386,1190031170202.8845,624178591650.5598
2024-09-18,1.6376459366008145,1.938486988135,1211156711137.1653,624794862462.5062
2024-09-19,1.727508876884589,1.989407371018,1244536027989.0344,625581289242.0282
2024-09-20,1.7323646127848904,1.991251479392,1247712645343.231,626597222026.5228
2024-09-21,1.7423200214222945,1.997224680189,1251962918584.1355,626851315729.6157
2024-09-22,1.7519043514542592,2.00309504051,1256024783427.4387,627042031469.2843
2024-09-23,1.735634662678534,1.993210662996,1251392097859.85,627827314539.2867
2024-09-24,1.7883358361463113,2.02322807255,1271313129462.337,628358783031.3279
2024-09-25,1.7149012079987929,1.980828516174,1245988223233.761,629023771144.2108
2024-09-26,1.8210539811427502,2.040909822528,1285496061106.9304,629864213948.7739
2024-09-27,1.8569280692484393,2.061133588941,1299551877858.9436,630503468980.2163
2024-09-28,1.8544707099854365,2.059734897491,1299634003244.5647,630971492898.2716
2024-09-29,1.8442892802088433,2.054377793402,1296647099791.2417,631162926291.1887
2024-09-30,1.7141503137674015,1.980655974681,1250084222714.1135,631146568962.0577
2024-10-01,1.5825829616150555,1.906306811115,1202652137478.4417,630880680101.5465
2024-10-02,1.5724838243324772,1.901135632078,1199279596723.505,630822744305.0211
2024-10-03,1.5759693540182584,1.903667765594,1200873514750.2053,630820953348.1793
2024-10-04,1.6441106473531382,1.942653036999,1226346035907.7808,631273836630.2577
2024-10-05,1.6415965287356298,1.941600018448,1225939409986.7307,631406777059.4038
2024-10-06,1.6814323283544068,1.964736190677,1240978188262.51,631625861095.8346
2024-10-07,1.6595282693632674,1.952455630153,1233629090802.9285,631834635190.2797
2024-10-08,1.627732810600734,1.926780183281,1227926230938.8872,637294405243.4275
2024-10-09,1.5447887118499062,1.880158282942,1198084020487.346,637225084375.6781
2024-10-10,1.5231817178049618,1.868650690361,1190322842678.6824,636995907698.9005
2024-10-11,1.6384369164651864,1.931911669891,1234653841758.9736,639084002131.7506
2024-10-12,1.6768894120790632,1.953970337674,1249315889028.0068,639373006304.276
2024-10-13,1.6511324252551252,1.939547429605,1240577394495.5432,639622097175.6251
2024-10-14,1.8281632346615628,2.039522213226,1306437310355.3203,640560471410.0526
2024-10-15,1.8680048698294287,2.060181206339,1323158084525.4727,642253254448.7976
2024-10-16,1.9037524521669615,2.079852586869,1337598426066.1377,643121745507.816
2024-10-17,1.8830007655520253,2.067823405287,1331205778724.287,643771501628.5564
2024-10-18,1.9364795542971613,2.097751626956,1352044329417.828,644520691603.3948
2024-10-19,1.9319997003863807,2.095293659588,1351436024579.4995,644986452564.9517
2024-10-20,1.9616179350907954,2.110307256847,1364411911597.1309,646546566700.2881
